gene_name,gene_group,chromosome,start,end,gene_length,flank_length,snp_count_1000genomes,snp_density_1000genomes,flank_count_1000genomes,flank_density_1000genomes,enrichment_1000genomes,snp_count_gnomad,snp_density_gnomad,flank_count_gnomad,flank_density_gnomad,enrichment_gnomad,snp_count_pangenome,snp_density_pangenome,flank_count_pangenome,flank_density_pangenome,enrichment_pangenome,snp_count_dbsnp,snp_density_dbsnp,flank_count_dbsnp,flank_density_dbsnp,enrichment_dbsnp,locus_type,gene_type,Max_TPM,Max_FPKM,Median_Conservation,Max_Conservation,category
RN7SL451P,RN7SL,chr1,8979576,8979874,299,2989,6,0.02006688963210702,79,0.02643024422883907,0.75923965962491,169,0.5652173913043478,1192,0.3987955838072934,1.4173110592354827,1,0.00334448160535117,57,0.01906992305118769,0.17537992137534472,120,0.4013377926421405,1158,0.3874205419872867,1.035922851647114,pseudogene,pseudogene,0,0,0.159999996423721,0.187000006437302,Pseudogene
RN7SKP269,RN7SK,chr1,9947318,9947636,319,3189,11,0.03448275862068965,72,0.02257761053621825,1.5272988505747125,69,0.21630094043887144,587,0.18407024145500156,1.1750999983978896,1,0.00313479623824451,17,0.00533082470994042,0.5880508943389268,106,0.3322884012539185,893,0.28002508623392913,1.1866379749146092,pseudogene,pseudogene,1.83,3.87,0.194999992847443,0.229000002145767,Pseudogene
RNU6-828P,RNU6,chr1,10163268,10163374,107,1069,3,0.02803738317757009,23,0.02151543498596819,1.303128809427062,25,0.2336448598130841,243,0.2273152478952292,1.0278450828814276,0,0,5,0.00467726847521047,0,38,0.35514018691588783,339,0.31711880261927033,1.1198963416315166,pseudogene,pseudogene,4.12,3.33,0.30799999833107,0.365000009536743,Pseudogene
RNU6-37P,RNU6,chr1,10298966,10299072,107,1069,4,0.03738317757009345,25,0.02338634237605238,1.5985046728971961,62,0.5794392523364486,225,0.21047708138447144,2.7529802699896155,1,0.00934579439252336,5,0.00467726847521047,1.9981308411214953,52,0.48598130841121495,326,0.3049579045837231,1.593601284330027,pseudogene,pseudogene,3.38,1.93,-0.234999999403954,1.14300000667572,Pseudogene
RN7SL731P,RN7SL,chr1,10306465,10306757,293,2929,2,0.0068259385665529,60,0.02048480710139979,0.33321956769055744,101,0.3447098976109215,544,0.18572891771935815,1.8559839891588037,2,0.0068259385665529,20,0.00682826903379993,0.9996587030716724,105,0.3583617747440273,851,0.2905428473881871,1.23342143152204,pseudogene,pseudogene,40.65,39.68,0.146999999880791,1.09300005435944,Pseudogene
RN7SL614P,RN7SL,chr1,10616836,10617115,280,2800,12,0.04285714285714286,85,0.03035714285714285,1.411764705882353,85,0.30357142857142855,627,0.22392857142857145,1.3556618819776711,4,0.01428571428571428,14,0.005,2.857142857142857,110,0.3928571428571429,958,0.34214285714285714,1.1482254697286012,pseudogene,pseudogene,0.83,0.93,-0.333499997854233,1.23599994182587,Pseudogene
RNU6-537P,RNU6,chr1,11152350,11152452,103,1029,8,0.07766990291262135,35,0.03401360544217687,2.2834951456310675,42,0.4077669902912621,212,0.20602526724975703,1.9792086462722112,3,0.02912621359223301,2,0.00194363459669582,14.985436893203884,28,0.27184466019417475,321,0.3119533527696793,0.8714272752018873,pseudogene,pseudogene,0,0,0.263999998569489,1.49399995803833,Pseudogene
RNU6-291P,RNU6,chr1,11226254,11226360,107,1069,3,0.02803738317757009,20,0.0187090739008419,1.4985981308411216,35,0.32710280373831774,205,0.19176800748362957,1.7057214497378617,0,0,8,0.00748362956033676,0,47,0.4392523364485981,324,0.3030869971936389,1.449261566862813,pseudogene,pseudogene,0.62,0.36,0.214000001549721,0.252000004053116,Pseudogene
RNU5E-1,RNU5,chr1,11908152,11908272,121,1209,73,0.6033057851239669,154,0.1273779983457403,4.736342170226467,329,2.71900826446281,985,0.8147229114971051,3.337341108360951,17,0.14049586776859505,49,0.04052936311000827,3.4665204924945185,189,1.56198347107438,921,0.7617866004962779,2.0504212991627857,"RNA, small nuclear",functional,7.84,6.33,1.02399998903275,2.74000000953674,Functional
RNU5E-4P,RNU5,chr1,11909808,11909927,120,1200,29,0.24166666666666667,57,0.0475,5.087719298245614,164,1.3666666666666667,637,0.5308333333333334,2.574568288854003,12,0.1,27,0.0225,4.444444444444445,136,1.1333333333333333,679,0.5658333333333333,2.0029455081001473,pseudogene,pseudogene,0,0,0.38400000333786,1.72500002384186,Pseudogene
RN7SL649P,RN7SL,chr1,12036740,12037014,275,2749,8,0.02909090909090909,100,0.0363768643142961,0.7997090909090909,57,0.20727272727272728,690,0.25100036376864315,0.8257865612648221,5,0.01818181818181818,34,0.01236813386686067,1.4700534759358288,87,0.31636363636363635,897,0.3263004728992361,0.969546974764366,pseudogene,pseudogene,0.14,0.08,0.164000004529953,0.252000004053116,Pseudogene
RNU6-777P,RNU6,chr1,12077881,12077984,104,1040,6,0.05769230769230769,29,0.02788461538461538,2.068965517241379,34,0.3269230769230769,205,0.1971153846153846,1.6585365853658538,3,0.02884615384615384,13,0.0125,2.3076923076923075,39,0.375,309,0.2971153846153846,1.2621359223300972,pseudogene,pseudogene,0,0,0.305000007152557,1.16700005531311,Pseudogene
RNU6ATAC18P,RNU6ATAC,chr1,12569972,12570072,101,1009,2,0.0198019801980198,23,0.02279484638255698,0.868704261730521,19,0.18811881188118812,201,0.199207135777998,0.944337717353825,0,0,5,0.00495540138751238,0,32,0.31683168316831684,300,0.29732408325074333,1.0656105610561055,pseudogene,pseudogene,1.75,0.99,2.10999989509583,3.5460000038147,Pseudogene
RNU6-1072P,RNU6,chr1,12922554,12922660,107,1069,0,0,0,0,0,22,0.205607476635514,478,0.4471468662301216,0.4598209048605951,1,0.00934579439252336,18,0.01683816651075772,0.5550363447559709,43,0.40186915887850466,408,0.3816651075771749,1.0529365951988272,pseudogene,pseudogene,0,0,0.136999994516373,0.159999996423721,Pseudogene
RNU6-771P,RNU6,chr1,13279125,13279231,107,1069,0,0,0,0,0,31,0.2897196261682243,389,0.3638914873713751,0.7961703865651202,2,0.01869158878504672,18,0.01683816651075772,1.1100726895119415,48,0.4485981308411215,400,0.37418147801683815,1.1988785046728971,pseudogene,pseudogene,0,0,0.146999999880791,1.96399998664856,Pseudogene
RNU6-1265P,RNU6,chr1,14124233,14124335,103,1029,5,0.04854368932038835,37,0.03595724003887269,1.3500393597480975,27,0.2621359223300971,235,0.22837706511175895,1.1478206982028507,1,0.00970873786407766,9,0.00874635568513119,1.1100323624595467,44,0.42718446601941745,355,0.34499514091350825,1.2382332831943117,pseudogene,pseudogene,0,0,-0.430999994277954,0.955999970436096,Pseudogene
RNU7-179P,RNU7,chr1,15608078,15608145,68,680,2,0.02941176470588235,16,0.02352941176470588,1.25,19,0.27941176470588236,422,0.6205882352941177,0.45023696682464454,0,0,7,0.01029411764705882,0,20,0.29411764705882354,260,0.38235294117647056,0.7692307692307693,pseudogene,pseudogene,0,0,0.118000000715256,0.193000003695488,Pseudogene
RNU1-1,RNU1,chr1,16514122,16514285,164,1640,1,0.00609756097560975,23,0.01402439024390244,0.43478260869565216,257,1.5670731707317074,1056,0.6439024390243903,2.433712121212121,6,0.03658536585365853,55,0.03353658536585366,1.0909090909090908,160,0.975609756097561,800,0.4878048780487805,2,"RNA, small nuclear",functional,3491.76,3848.22,0.328999996185303,0.593999981880188,Functional
TRN-GTT5-1,TRNA,chr1,16520585,16520658,74,740,4,0.05405405405405406,36,0.04864864864864865,1.1111111111111112,52,0.7027027027027027,265,0.3581081081081081,1.962264150943396,0,0,8,0.01081081081081081,0,47,0.6351351351351351,219,0.2959459459459459,2.146118721461187,"RNA, transfer",functional,-Inf,-Inf,0.439999997615814,0.522000014781952,Functional
RNU1-6P,RNU1,chr1,16534081,16534224,144,1440,5,0.03472222222222222,15,0.01041666666666666,3.3333333333333335,55,0.3819444444444444,650,0.4513888888888889,0.846153846153846,3,0.02083333333333333,17,0.01180555555555555,1.7647058823529411,44,0.3055555555555556,484,0.33611111111111114,0.9090909090909092,pseudogene,pseudogene,0.5,0.69,0.296999990940094,0.579999983310699,Pseudogene
TRE-TTC4-1,TRNA,chr1,16535279,16535350,72,720,0,0,1,0.00138888888888888,0,122,1.6944444444444444,465,0.6458333333333334,2.6236559139784945,1,0.01388888888888888,10,0.01388888888888888,1,66,0.9166666666666666,341,0.4736111111111111,1.935483870967742,"RNA, transfer",functional,-Inf,-Inf,0.455000013113022,0.546999990940094,Functional
TRG-CCC1-1,TRNA,chr1,16545939,16546009,71,709,0,0,1,0.00141043723554301,0,144,2.028169014084507,488,0.688293370944993,2.946663588085892,4,0.05633802816901408,10,0.01410437235543018,3.9943661971830986,76,1.0704225352112675,323,0.45557122708039494,2.349627174813587,"RNA, transfer",functional,-Inf,-Inf,0.444000005722046,0.52700001001358,Functional
TRV-CAC11-1,TRNA,chr1,16547665,16547737,73,729,1,0.0136986301369863,1,0.00137174211248285,9.986301369863014,82,1.1232876712328768,386,0.5294924554183813,2.121442259919086,1,0.0136986301369863,7,0.00960219478737997,1.4266144814090018,54,0.7397260273972602,256,0.3511659807956104,2.1064854452054793,pseudogene,pseudogene,-Inf,-Inf,0.377999991178513,0.449999988079071,Pseudogene
RNU1-3,RNU1,chr1,16666785,16666948,164,1640,0,0,0,0,0,0,0,0,0,0,14,0.08536585365853659,151,0.09207317073170732,0.9271523178807948,0,0,37,0.02256097560975609,0,"RNA, small nuclear",functional,3491.76,3848.22,0.446000009775162,0.523999989032745,Functional
TRG-CCC4-1,TRNA,chr1,16678271,16678341,71,709,23,0.323943661971831,47,0.06629055007052186,4.88672460293677,134,1.887323943661972,331,0.46685472496473907,4.042636483553891,14,0.19718309859154928,89,0.12552891396332863,1.5708181674315556,80,1.1267605633802815,275,0.3878702397743301,2.9049935979513446,"RNA, transfer",functional,-Inf,-Inf,0.158000007271767,0.184000000357628,Functional
TRV-CAC13-1,TRNA,chr1,16725566,16725638,73,729,5,0.0684931506849315,51,0.06995884773662552,0.9790491539081384,53,0.726027397260274,491,0.6735253772290809,1.0779510643640322,13,0.1780821917808219,41,0.05624142661179698,3.1663882392248577,23,0.3150684931506849,204,0.27983539094650206,1.1259065269943591,"RNA, transfer",functional,-Inf,-Inf,0.0410000011324883,0.893999993801117,Functional
TRG-CCC5-1,TRNA,chr1,16727285,16727355,71,709,10,0.14084507042253522,64,0.09026798307475316,1.560299295774648,165,2.323943661971831,611,0.8617771509167842,2.6966874899149396,10,0.14084507042253522,68,0.09590973201692524,1.4685169842584922,67,0.943661971830986,246,0.3469675599435825,2.719741211496622,"RNA, transfer",functional,-Inf,-Inf,0.446999996900558,0.528999984264374,Functional
RNU1-4,RNU1,chr1,16740516,16740679,164,1640,0,0,0,0,0,0,0,0,0,0,10,0.06097560975609756,147,0.08963414634146341,0.6802721088435374,1,0.00609756097560975,56,0.03414634146341464,0.17857142857142858,"RNA, small nuclear",functional,3491.76,4585.69,0.266000002622604,0.314000010490417,Functional
TRV-CAC11-2,TRNA,chr1,16860198,16860270,73,729,0,0,0,0,0,88,1.2054794520547945,389,0.53360768175583,2.259111878015283,4,0.0547945205479452,13,0.01783264746227709,3.072708113804004,63,0.863013698630137,260,0.35665294924554186,2.419757639620653,pseudogene,pseudogene,-Inf,-Inf,-0.190999999642372,0.601999998092651,Pseudogene
TRG-CCC1-2,TRNA,chr1,16861921,16861991,71,709,0,0,5,0.00705218617771509,0,125,1.7605633802816902,329,0.46403385049365303,3.7940408407894175,2,0.02816901408450704,19,0.02679830747531735,1.0511489992587102,69,0.971830985915493,252,0.3554301833568406,2.734238765928907,"RNA, transfer",functional,-Inf,-Inf,0.444000005722046,0.52700001001358,Functional
TRE-TTC3-1,TRNA,chr1,16872583,16872654,72,720,0,0,0,0,0,150,2.0833333333333335,607,0.8430555555555556,2.471169686985174,4,0.05555555555555555,18,0.025,2.222222222222222,69,0.9583333333333334,321,0.44583333333333336,2.149532710280374,"RNA, transfer",functional,-Inf,-Inf,0.30799999833107,0.365000009536743,Functional
RNU1-5P,RNU1,chr1,16873708,16873851,144,1440,0,0,1,6.9444444444444e-4,0,65,0.4513888888888889,733,0.5090277777777777,0.8867667121418827,1,0.00694444444444444,20,0.01388888888888888,0.5,57,0.3958333333333333,516,0.35833333333333334,1.1046511627906976,pseudogene,pseudogene,0.5,0.69,0.30799999833107,0.592000007629395,Pseudogene
TRN-GTT4-1,TRNA,chr1,16889677,16889750,74,740,13,0.17567567567567569,28,0.03783783783783784,4.642857142857143,77,1.0405405405405406,321,0.4337837837837838,2.398753894080997,5,0.06756756756756757,9,0.01216216216216216,5.555555555555555,55,0.7432432432432432,255,0.34459459459459457,2.156862745098039,"RNA, transfer",functional,-Inf,-Inf,0.439999997615814,0.522000014781952,Functional
RNU1-2,RNU1,chr1,16895980,16896143,164,1640,0,0,25,0.01524390243902439,0,332,2.024390243902439,1350,0.823170731707317,2.4592592592592593,7,0.04268292682926829,85,0.05182926829268292,0.823529411764706,159,0.9695121951219512,836,0.5097560975609756,1.901913875598086,"RNA, small nuclear",functional,3491.76,3848.22,0.284000009298325,0.335999995470047,Functional
RNU6-1099P,RNU6,chr1,19305076,19305182,107,1069,5,0.04672897196261682,32,0.02993451824134705,1.561039719626168,27,0.2523364485981308,214,0.2001870907390084,1.2605031007074852,0,0,8,0.00748362956033676,0,30,0.2803738317757009,219,0.2048643592142189,1.368582767891435,pseudogene,pseudogene,11.47,9.26,0.214000001549721,0.77700001001358,Pseudogene
RN7SL277P,RN7SL,chr1,19424384,19424671,288,2880,13,0.04513888888888889,88,0.03055555555555555,1.4772727272727273,69,0.23958333333333337,654,0.22708333333333333,1.0550458715596331,6,0.02083333333333333,31,0.01076388888888888,1.9354838709677415,74,0.2569444444444444,616,0.21388888888888888,1.2012987012987013,pseudogene,pseudogene,1.93,1.82,0.305000007152557,2.1159999370575,Pseudogene
RNU4-28P,RNU4,chr1,19510593,19510733,141,1409,4,0.02836879432624113,33,0.0234208658623137,1.2112615516870835,48,0.3404255319148936,283,0.20085166784953867,1.6949101571310428,1,0.00709219858156028,9,0.0063875088715401,1.1103230890464932,40,0.28368794326241137,272,0.1930447125621008,1.4695452649144765,pseudogene,pseudogene,0.24,0.14,0.187999993562698,0.50900000333786,Pseudogene
RN7SL304P,RN7SL,chr1,19970969,19971269,301,3009,17,0.05647840531561462,88,0.02924559654370222,1.9311763817577772,84,0.27906976744186046,640,0.2126952475905617,1.312063953488372,5,0.01661129568106312,25,0.00830840810900631,1.9993355481727575,84,0.27906976744186046,618,0.2053838484546361,1.3587717317678931,pseudogene,pseudogene,0.45,0.37,0.266999989748001,0.736999988555908,Pseudogene
RNU7-200P,RNU7,chr1,20841241,20841302,62,620,0,0,12,0.01935483870967742,0,18,0.2903225806451613,98,0.15806451612903225,1.8367346938775513,0,0,2,0.0032258064516129,0,16,0.25806451612903225,125,0.20161290322580644,1.28,pseudogene,pseudogene,0,0,-0.105999998748302,0.796000003814697,Pseudogene
RN7SL386P,RN7SL,chr1,21987481,21987777,297,2969,2,0.00673400673400673,101,0.03401818794206803,0.19795312864619796,84,0.2828282828282828,1164,0.3920511956887841,0.7214065049116595,9,0.0303030303030303,69,0.02324014819804648,1.303908651734739,108,0.3636363636363637,1267,0.42674301111485347,0.8521202554351727,pseudogene,pseudogene,0,0,0.287000000476837,0.340000003576279,Pseudogene
RNU6-1022P,RNU6,chr1,21987816,21987919,104,1040,3,0.02884615384615384,19,0.01826923076923077,1.5789473684210529,35,0.33653846153846156,395,0.3798076923076923,0.8860759493670887,2,0.01923076923076923,28,0.02692307692307692,0.7142857142857143,44,0.4230769230769231,431,0.41442307692307695,1.0208816705336423,pseudogene,pseudogene,0.15,0.09,0.287000000476837,0.340000003576279,Pseudogene
RN7SL186P,RN7SL,chr1,22010650,22010946,297,2969,1,0.00336700336700336,72,0.0242505894240485,0.13884212495323606,71,0.23905723905723905,1037,0.34927585045469856,0.6844367818331174,5,0.01683501683501683,130,0.04378578646008757,0.3844858844858845,94,0.3164983164983165,1102,0.37116874368474234,0.8527073517999108,pseudogene,pseudogene,0.09,0.05,0.28600001335144,0.33899998664856,Pseudogene
RNU6-776P,RNU6,chr1,22010985,22011088,104,1040,2,0.01923076923076923,8,0.00769230769230769,2.5,33,0.3173076923076923,449,0.4317307692307693,0.7349665924276169,2,0.01923076923076923,36,0.03461538461538462,0.5555555555555556,41,0.3942307692307692,387,0.3721153846153846,1.0594315245478036,pseudogene,pseudogene,0,0,0.28600001335144,0.33899998664856,Pseudogene
RNU6-514P,RNU6,chr1,23162704,23162810,107,1069,1,0.00934579439252336,23,0.02151543498596819,0.43437626980902067,28,0.2616822429906542,376,0.3517305893358279,0.7439848876516205,1,0.00934579439252336,8,0.00748362956033676,1.2488317757009344,44,0.411214953271028,404,0.37792329279700654,1.0880910520958638,pseudogene,pseudogene,0,0,0.252000004053116,0.921999990940094,Pseudogene
RNU6-135P,RNU6,chr1,23163953,23164053,101,1009,1,0.0099009900990099,29,0.02874132804757185,0.34448617275520654,20,0.19801980198019803,322,0.3191278493557978,0.6205030440932293,0,0,9,0.00891972249752229,0,40,0.39603960396039606,342,0.3389494549058474,1.168432632736958,pseudogene,pseudogene,0.49,0.29,-0.116999998688698,3.22900009155273,Pseudogene
RNU6-1208P,RNU6,chr1,24777873,24777979,107,1069,3,0.02803738317757009,21,0.019644527595884,1.4272363150867824,19,0.17757009345794392,211,0.19738072965388212,0.8996323692253179,1,0.00934579439252336,5,0.00467726847521047,1.9981308411214953,32,0.29906542056074764,313,0.29279700654817586,1.021408736675525,pseudogene,pseudogene,0,0,0.00800000037997961,1.15699994564056,Pseudogene
RNU6-110P,RNU6,chr1,25964197,25964300,104,1040,5,0.04807692307692308,37,0.03557692307692307,1.3513513513513515,27,0.25961538461538464,225,0.21634615384615383,1.2,3,0.02884615384615384,6,0.00576923076923076,5,27,0.25961538461538464,235,0.2259615384615385,1.148936170212766,pseudogene,pseudogene,0.21,0.12,0.214000001549721,0.523000001907349,Pseudogene
RN7SL679P,RN7SL,chr1,26593243,26593546,304,3040,4,0.0131578947368421,66,0.02171052631578947,0.606060606060606,68,0.2236842105263158,767,0.2523026315789474,0.8865710560625815,1,0.00328947368421052,16,0.00526315789473684,0.625,64,0.21052631578947367,644,0.2118421052631579,0.9937888198757764,pseudogene,pseudogene,0.28,0.22,0.284000009298325,0.741999983787537,Pseudogene
RNU7-29P,RNU7,chr1,26602369,26602432,64,640,1,0.015625,12,0.01875,0.8333333333333334,10,0.15625,287,0.4484375,0.34843205574912894,0,0,9,0.0140625,0,13,0.203125,155,0.2421875,0.8387096774193549,pseudogene,pseudogene,0,0,-0.24099999666214,0.691999971866608,Pseudogene
RN7SL165P,RN7SL,chr1,26814822,26815112,291,2909,5,0.01718213058419244,69,0.02371949123410106,0.7243886647741421,65,0.22336769759450173,845,0.29047782743210726,0.7689664287602432,1,0.00343642611683848,15,0.00515641113784805,0.6664375715922107,60,0.20618556701030927,667,0.22928841526297697,0.8992411010989351,pseudogene,pseudogene,2.27,13.77,0.143999993801117,0.150999993085861,Pseudogene
RNU6-48P,RNU6,chr1,27325219,27325325,107,1069,2,0.01869158878504672,31,0.02899906454630495,0.6445583358456436,30,0.2803738317757009,214,0.2001870907390084,1.4005590007860946,2,0.01869158878504672,4,0.00374181478016838,4.995327102803738,31,0.2897196261682243,246,0.23012160898035547,1.2589848795684218,pseudogene,pseudogene,1.54,0.91,0.211999997496605,5.32000017166138,Pseudogene
RNU6-949P,RNU6,chr1,27675603,27675709,107,1069,2,0.01869158878504672,31,0.02899906454630495,0.6445583358456436,18,0.16822429906542055,329,0.3077642656688494,0.5466011419481294,0,0,8,0.00748362956033676,0,22,0.205607476635514,281,0.2628624883068288,0.7821864502610836,pseudogene,pseudogene,0,0,0.174999997019768,0.204999998211861,Pseudogene
RNU6-424P,RNU6,chr1,27693731,27693835,105,1049,3,0.02857142857142857,25,0.02383222116301239,1.1988571428571428,14,0.13333333333333333,205,0.1954242135367016,0.6822764227642276,2,0.01904761904761905,5,0.00476644423260247,3.996190476190476,17,0.1619047619047619,176,0.16777883698760723,0.9649891774891776,pseudogene,pseudogene,0,0,0.130999997258186,0.136999994516373,Pseudogene
RNU6-1245P,RNU6,chr1,27824538,27824643,106,1060,4,0.03773584905660377,19,0.01792452830188679,2.1052631578947367,24,0.22641509433962265,289,0.27264150943396226,0.8304498269896194,1,0.00943396226415094,9,0.00849056603773584,1.1111111111111112,21,0.19811320754716985,207,0.19528301886792457,1.0144927536231885,pseudogene,pseudogene,3.47,4.39,-0.0240000002086162,0.758000016212463,Pseudogene
RN7SL559P,RN7SL,chr1,28031884,28032180,297,2969,6,0.0202020202020202,53,0.0178511283260357,1.1316943015056222,71,0.23905723905723905,457,0.15392388009430785,1.5530874021027192,2,0.00673400673400673,13,0.00437857864600875,1.537943537943538,116,0.39057239057239057,756,0.25463118895250925,1.5338749042452746,pseudogene,pseudogene,8.02,5.13,-0.0500000007450581,1.02799999713898,Pseudogene
RNU6-176P,RNU6,chr1,28142737,28142841,105,1049,3,0.02857142857142857,32,0.03050524308865586,0.9366071428571427,20,0.1904761904761905,329,0.3136320305052431,0.6073237805760602,0,0,11,0.01048617731172545,0,29,0.2761904761904762,346,0.32983794089609153,0.8373520506468484,pseudogene,pseudogene,0,0,0.266999989748001,0.316000014543533,Pseudogene
RNU6ATAC27P,RNU6ATAC,chr1,28481362,28481480,119,1189,3,0.02521008403361344,32,0.02691337258200168,0.9367121848739496,20,0.16806722689075632,273,0.22960470984020184,0.731985101733001,0,0,10,0.00841042893187552,0,24,0.20168067226890757,265,0.22287636669470143,0.9048993182178532,pseudogene,pseudogene,2.13,1.24,4.58400011062622,6.7039999961853,Pseudogene
SNHG3,RNU1,chr1,28505980,28510892,4913,49129,224,0.0455933238347242,1178,0.02397769138390767,1.901489309572297,1865,0.3796051292489314,13684,0.27853202792647924,1.362877842361207,69,0.01404437207408915,372,0.00757190254228663,1.854800955989048,1954,0.39772033380826377,11564,0.2353803252661361,1.689692345180404,"RNA, long non-coding",functional,0,0,NA,NA,Functional
SNORA73A,RNU1,chr1,28507366,28507571,206,2060,7,0.03398058252427184,93,0.04514563106796116,0.7526881720430108,89,0.4320388349514563,678,0.329126213592233,1.3126843657817109,1,0.00485436893203883,34,0.01650485436893204,0.2941176470588235,122,0.5922330097087378,655,0.3179611650485437,1.862595419847328,"RNA, small nucleolar",functional,0,0,NA,NA,Functional
SNORA73B,RNU1,chr1,28508559,28508762,204,2040,8,0.0392156862745098,86,0.04215686274509804,0.9302325581395348,85,0.4166666666666667,576,0.2823529411764706,1.4756944444444444,3,0.01470588235294117,21,0.01029411764705882,1.4285714285714286,123,0.6029411764705882,651,0.3191176470588235,1.8894009216589864,"RNA, small nucleolar",functional,0,0,NA,NA,Functional
TRNAU1AP,TRNA,chr1,28553085,28578545,25461,254609,648,0.02545068928950159,6120,0.02403685651332042,1.0588193708024038,8614,0.33832135422803505,71550,0.2810191312954373,1.2039086188489976,189,0.00742311770943796,1843,0.00723855009053097,1.025497871341449,6844,0.26880326774282237,59817,0.23493670687210583,1.144151849753954,gene with protein product,functional,0,0,NA,NA,Functional
RNU11,RNU11,chr1,28648600,28648734,135,1349,54,0.4,102,0.07561156412157154,5.290196078431372,282,2.088888888888889,706,0.5233506300963677,3.9913755114888256,4,0.02962962962962963,20,0.01482579688658265,1.9985185185185184,156,1.1555555555555554,550,0.407709414381023,2.834262626262626,"RNA, small nuclear",functional,19.31,15.59,5.12800002098083,8.83699989318848,Functional
