gene_name,expected_promoter,contains_type1_promoter,contains_type2_promoter,contains_type3_promoter
RNU1-98P,None,False,False,False
RNU2-1,None,True,True,True
RNU2-10P,None,False,False,False
RNU2-11P,None,False,True,True
RNU2-12P,None,False,False,False
RNU2-13P,None,False,True,False
RNU2-14P,None,True,True,True
RNU2-15P,None,False,False,False
RNU2-16P,None,False,True,True
RNU2-17P,None,False,False,False
RNU2-18P,None,True,True,True
RNU2-19P,None,False,False,False
RNU2-20P,None,False,False,False
RNU2-21P,None,False,False,False
RNU2-22P,None,True,True,True
RNU2-23P,None,False,False,False
RNU2-24P,None,True,True,True
RNU2-25P,None,False,False,False
RNU2-26P,None,True,True,True
RNU2-27P,None,False,False,False
RNU2-28P,None,False,False,False
RNU2-29P,None,False,False,False
RNU2-2P,None,False,False,False
RNU2-30P,None,True,True,True
RNU2-31P,None,False,False,False
RNU2-32P,None,False,True,False
RNU2-33P,None,False,True,False
RNU2-34P,None,False,False,False
RNU2-35P,None,False,True,True
RNU2-36P,None,True,True,True
RNU2-37P,None,False,False,False
RNU2-38P,None,False,False,False
RNU2-39P,None,False,False,False
RNU2-3P,None,False,False,False
RNU2-40P,None,False,False,False
RNU2-41P,None,False,False,False
RNU2-42P,None,False,False,False
RNU2-43P,None,False,False,False
RNU2-44P,None,False,False,False
RNU2-45P,None,False,True,True
RNU2-46P,None,False,False,False
RNU2-47P,None,False,True,True
RNU2-48P,None,False,False,False
RNU2-49P,None,False,False,False
RNU2-4P,None,True,False,False
RNU2-50P,None,False,False,False
RNU2-51P,None,False,True,True
RNU2-52P,None,False,False,False
RNU2-53P,None,False,True,True
RNU2-54P,None,False,False,False
RNU2-55P,None,False,False,False
RNU2-56P,None,False,False,False
RNU2-57P,None,True,True,True
RNU2-58P,None,True,True,True
RNU2-59P,None,False,True,True
RNU2-5P,None,False,True,True
RNU2-60P,None,False,False,False
RNU2-61P,None,True,True,True
RNU2-62P,None,False,False,False
RNU2-63P,None,False,False,False
RNU2-64P,None,False,False,False
RNU2-65P,None,True,True,True
RNU2-66P,None,False,False,False
RNU2-68P,None,False,False,False
RNU2-69P,None,True,True,True
RNU2-6P,None,True,True,True
RNU2-70P,None,False,False,False
RNU2-71P,None,False,True,False
RNU2-72P,None,False,False,False
RNU2-7P,None,False,False,False
RNU2-8P,None,False,False,False
RNU2-9P,None,False,False,False
RNU4-1,None,True,True,True
RNU4-10P,None,False,False,False
RNU4-11P,None,False,False,False
RNU4-12P,None,False,False,False
RNU4-13P,None,False,False,False
RNU4-14P,None,True,True,True
RNU4-15P,None,False,False,False
RNU4-16P,None,False,True,False
RNU4-17P,None,False,False,False
RNU4-18P,None,False,True,True
RNU4-2,None,True,True,True
RNU4-20P,None,False,True,False
RNU4-21P,None,True,True,True
RNU4-22P,None,False,True,True
RNU4-23P,None,False,False,False
RNU4-24P,None,False,False,False
RNU4-25P,None,False,False,False
RNU4-26P,None,False,False,False
RNU4-27P,None,False,True,False
RNU4-28P,None,True,True,True
RNU4-29P,None,False,False,False
RNU4-30P,None,True,True,True
RNU4-31P,None,False,False,False
RNU4-32P,None,False,False,True
RNU4-33P,None,False,False,False
RNU4-34P,None,True,True,True
RNU4-35P,None,False,True,False
RNU4-36P,None,False,False,False
RNU4-37P,None,False,False,False
RNU4-38P,None,False,False,False
RNU4-39P,None,True,True,True
RNU4-3P,None,False,False,False
RNU4-40P,None,False,True,False
RNU4-41P,None,False,False,False
RNU4-42P,None,False,True,True
RNU4-43P,None,False,False,False
RNU4-44P,None,False,False,False
RNU4-45P,None,False,True,False
RNU4-46P,None,False,True,True
RNU4-47P,None,True,True,True
RNU4-48P,None,False,False,False
RNU4-49P,None,False,False,False
RNU4-4P,None,False,False,False
RNU4-50P,None,False,False,False
RNU4-51P,None,False,False,False
RNU4-52P,None,True,True,True
RNU4-53P,None,False,True,True
RNU4-54P,None,False,False,False
RNU4-55P,None,False,False,False
RNU4-56P,None,False,False,False
RNU4-57P,None,False,False,False
RNU4-58P,None,False,False,False
RNU4-59P,None,False,False,False
RNU4-5P,None,False,False,False
RNU4-60P,None,False,False,False
RNU4-61P,None,False,True,True
RNU4-62P,None,False,True,True
RNU4-63P,None,False,False,False
RNU4-64P,None,False,False,False
RNU4-65P,None,False,False,False
RNU4-66P,None,False,False,False
RNU4-67P,None,False,False,False
RNU4-68P,None,True,True,True
RNU4-69P,None,False,False,False
RNU4-6P,None,False,False,False
RNU4-70P,None,False,False,False
RNU4-71P,None,False,False,False
RNU4-72P,None,False,False,False
RNU4-73P,None,False,False,False
RNU4-74P,None,False,False,False
RNU4-75P,None,False,False,False
RNU4-76P,None,False,False,False
RNU4-77P,None,False,False,False
RNU4-78P,None,False,False,False
RNU4-79P,None,False,False,False
RNU4-7P,None,False,False,False
RNU4-80P,None,False,False,False
RNU4-81P,None,False,False,False
RNU4-82P,None,False,False,False
RNU4-83P,None,False,True,True
RNU4-84P,None,False,False,False
RNU4-85P,None,False,False,False
RNU4-86P,None,True,True,True
RNU4-87P,None,False,False,False
RNU4-88P,None,False,False,False
RNU4-89P,None,False,False,False
RNU4-8P,None,False,True,True
RNU4-90P,None,True,True,True
RNU4-91P,None,False,False,False
RNU4-92P,None,False,False,False
RNU4-9P,None,False,True,False
RNU5A-1,None,False,False,False
RNU5A-2P,None,False,False,False
RNU5A-3P,None,True,True,True
RNU5A-4P,None,False,False,False
RNU5A-5P,None,False,False,False
RNU5A-6P,None,False,False,False
RNU5A-7P,None,False,True,False
RNU5A-8P,None,False,False,False
RNU5B-1,None,False,False,False
RNU5B-2P,None,False,False,False
RNU5B-3P,None,False,False,False
RNU5B-4P,None,False,True,True
RNU5B-5P,None,False,False,False
RNU5B-6P,None,False,False,False
RNU5D-1,None,False,False,False
RNU5D-2P,None,False,False,False
RNU5E-1,None,False,True,True
RNU5E-10P,None,False,True,True
RNU5E-2P,None,True,True,True
RNU5E-3P,None,False,False,False
RNU5E-4P,None,False,False,False
RNU5E-5P,None,True,True,True
RNU5E-6P,None,False,False,False
RNU5E-7P,None,False,False,False
RNU5E-8P,None,False,True,True
RNU5E-9P,None,False,False,False
RNU5F-1,None,False,False,False
RNU5F-2P,None,False,False,False
RNU5F-3P,None,False,False,False
RNU5F-4P,None,True,True,True
RNU5F-5P,None,False,False,False
RNU5F-6P,None,False,False,False
RNU5F-7P,None,False,False,False
RNU5F-8P,None,False,True,True
RNU6-1,Type 3,True,True,True
RNU6-1000P,Type 3,False,False,True
RNU6-1001P,Type 3,False,False,False
RNU6-1003P,Type 3,True,True,True
RNU6-1004P,Type 3,False,True,True
RNU6-1005P,Type 3,False,False,True
RNU6-1006P,Type 3,False,False,True
RNU6-1007P,Type 3,True,True,True
RNU6-1008P,Type 3,False,False,True
RNU6-1009P,Type 3,False,True,True
RNU6-100P,Type 3,False,True,True
RNU6-1010P,Type 3,True,True,True
RNU6-1011P,Type 3,False,False,True
RNU6-1012P,Type 3,False,False,False
RNU6-1013P,Type 3,False,False,True
RNU6-1014P,Type 3,False,False,True
RNU6-1015P,Type 3,False,True,True
RNU6-1016P,Type 3,False,False,True
RNU6-1017P,Type 3,False,True,True
RNU6-1018P,Type 3,False,False,True
RNU6-1019P,Type 3,False,False,True
RNU6-101P,Type 3,False,False,True
RNU6-1020P,Type 3,True,True,True
RNU6-1021P,Type 3,False,False,True
RNU6-1022P,Type 3,True,True,True
RNU6-1023P,Type 3,False,False,True
RNU6-1024P,Type 3,False,True,True
RNU6-1025P,Type 3,False,True,True
RNU6-1026P,Type 3,False,False,True
RNU6-1027P,Type 3,False,True,True
RNU6-1028P,Type 3,True,True,True
RNU6-1029P,Type 3,False,False,True
RNU6-102P,Type 3,False,False,True
RNU6-1031P,Type 3,False,False,True
RNU6-1032P,Type 3,False,False,True
RNU6-1034P,Type 3,False,False,True
RNU6-1035P,Type 3,False,True,True
RNU6-1036P,Type 3,False,True,True
RNU6-1037P,Type 3,False,False,True
RNU6-1038P,Type 3,False,False,True
RNU6-1039P,Type 3,False,False,True
RNU6-103P,Type 3,False,True,True
RNU6-1040P,Type 3,False,False,True
RNU6-1041P,Type 3,True,True,True
RNU6-1042P,Type 3,False,False,True
RNU6-1043P,Type 3,False,False,True
RNU6-1044P,Type 3,False,False,True
RNU6-1045P,Type 3,False,False,True
RNU6-1046P,Type 3,False,True,True
RNU6-1047P,Type 3,False,False,True
RNU6-1048P,Type 3,False,False,True
RNU6-1049P,Type 3,False,False,True
RNU6-104P,Type 3,False,False,True
RNU6-1050P,Type 3,False,True,True
RNU6-1051P,Type 3,False,False,True
RNU6-1052P,Type 3,False,False,True
RNU6-1053P,Type 3,False,False,True
RNU6-1054P,Type 3,False,False,True
RNU6-1055P,Type 3,False,False,True
RNU6-1056P,Type 3,True,True,True
RNU6-1057P,Type 3,True,True,True
RNU6-1059P,Type 3,False,False,True
RNU6-105P,Type 3,False,False,True
RNU6-1060P,Type 3,False,False,True
RNU6-1061P,Type 3,False,False,True
RNU6-1062P,Type 3,False,False,True
RNU6-1064P,Type 3,False,True,True
RNU6-1065P,Type 3,False,True,True
RNU6-1066P,Type 3,False,True,True
RNU6-1067P,Type 3,False,True,True
RNU6-1068P,Type 3,False,False,True
RNU6-1069P,Type 3,True,True,True
RNU6-106P,Type 3,True,True,True
RNU6-1071P,Type 3,False,False,True
RNU6-1072P,Type 3,False,True,True
RNU6-1073P,Type 3,False,False,True
RNU6-1074P,Type 3,False,False,True
RNU6-1075P,Type 3,False,False,True
RNU6-1076P,Type 3,False,False,True
RNU6-1077P,Type 3,False,True,True
RNU6-1078P,Type 3,False,False,True
RNU6-1079P,Type 3,False,False,True
RNU6-107P,Type 3,False,False,True
RNU6-1080P,Type 3,False,False,True
RNU6-1081P,Type 3,False,False,True
RNU6-1082P,Type 3,False,False,True
RNU6-1083P,Type 3,True,True,True
RNU6-1084P,Type 3,False,True,True
RNU6-1085P,Type 3,True,True,True
RNU6-1086P,Type 3,False,False,True
RNU6-1087P,Type 3,False,False,True
RNU6-1088P,Type 3,True,True,True
RNU6-1089P,Type 3,False,False,True
RNU6-108P,Type 3,False,False,True
RNU6-1090P,Type 3,False,False,True
RNU6-1091P,Type 3,True,True,True
RNU6-1092P,Type 3,True,True,True
RNU6-1093P,Type 3,True,True,True
RNU6-1094P,Type 3,False,False,True
RNU6-1095P,Type 3,True,True,True
RNU6-1096P,Type 3,False,False,True
RNU6-1097P,Type 3,False,False,True
RNU6-1098P,Type 3,False,False,True
RNU6-1099P,Type 3,False,False,True
RNU6-109P,Type 3,False,False,True
RNU6-10P,Type 3,True,True,True
RNU6-1100P,Type 3,False,False,True
RNU6-1101P,Type 3,True,True,True
RNU6-1102P,Type 3,False,False,True
RNU6-1103P,Type 3,False,False,True
RNU6-1104P,Type 3,False,True,True
RNU6-1105P,Type 3,False,True,True
RNU6-1106P,Type 3,True,True,True
RNU6-1107P,Type 3,False,False,True
RNU6-1108P,Type 3,False,False,True
RNU6-1109P,Type 3,False,False,False
RNU6-110P,Type 3,False,False,True
RNU6-1110P,Type 3,False,False,False
RNU6-1111P,Type 3,False,False,True
RNU6-1112P,Type 3,False,False,True
RNU6-1113P,Type 3,False,True,True
RNU6-1114P,Type 3,True,True,True
RNU6-1115P,Type 3,False,False,True
RNU6-1116P,Type 3,False,False,True
RNU6-1117P,Type 3,False,False,True
RNU6-1118P,Type 3,False,False,True
RNU6-1119P,Type 3,False,False,True
RNU6-111P,Type 3,False,False,True
RNU6-1120P,Type 3,False,False,True
RNU6-1121P,Type 3,True,True,True
RNU6-1122P,Type 3,True,True,True
RNU6-1123P,Type 3,False,False,True
RNU6-1124P,Type 3,False,False,True
RNU6-1125P,Type 3,False,False,True
RNU6-1126P,Type 3,False,True,True
RNU6-1127P,Type 3,False,False,True
RNU6-1128P,Type 3,False,False,True
RNU6-1129P,Type 3,False,False,True
RNU6-112P,Type 3,False,False,True
RNU6-1130P,Type 3,False,False,True
RNU6-1131P,Type 3,False,True,True
RNU6-1132P,Type 3,False,False,False
RNU6-1133P,Type 3,True,True,True
RNU6-1134P,Type 3,False,False,True
RNU6-1135P,Type 3,False,False,True
RNU6-1136P,Type 3,False,False,True
RNU6-1137P,Type 3,False,True,True
RNU6-1138P,Type 3,True,True,True
RNU6-1139P,Type 3,True,True,True
RNU6-113P,Type 3,False,True,True
RNU6-1140P,Type 3,False,False,True
RNU6-1141P,Type 3,False,False,True
RNU6-1143P,Type 3,False,False,False
RNU6-1144P,Type 3,False,True,True
RNU6-1145P,Type 3,False,True,True
RNU6-1146P,Type 3,False,False,True
RNU6-1147P,Type 3,False,True,True
RNU6-1148P,Type 3,False,False,True
RNU6-1149P,Type 3,False,True,True
RNU6-114P,Type 3,False,False,True
RNU6-1150P,Type 3,False,False,False
RNU6-1151P,Type 3,True,True,True
RNU6-1152P,Type 3,False,False,True
RNU6-1153P,Type 3,False,False,True
RNU6-1154P,Type 3,False,True,True
RNU6-1155P,Type 3,True,True,True
RNU6-1156P,Type 3,False,False,True
RNU6-1157P,Type 3,False,True,True
RNU6-1158P,Type 3,False,True,True
RNU6-1159P,Type 3,False,False,True
RNU6-115P,Type 3,False,False,True
RNU6-1160P,Type 3,False,True,True
RNU6-1161P,Type 3,False,False,True
RNU6-1162P,Type 3,True,True,True
RNU6-1163P,Type 3,False,False,True
RNU6-1164P,Type 3,False,True,True
RNU6-1165P,Type 3,False,False,True
RNU6-1167P,Type 3,False,False,True
RNU6-1168P,Type 3,False,False,True
RNU6-1169P,Type 3,True,True,True
RNU6-116P,Type 3,False,False,True
RNU6-1170P,Type 3,False,False,True
RNU6-1171P,Type 3,False,False,True
RNU6-1172P,Type 3,False,False,True
RNU6-1174P,Type 3,False,False,True
RNU6-1175P,Type 3,False,False,True
RNU6-1176P,Type 3,False,True,True
RNU6-1177P,Type 3,False,False,True
RNU6-1178P,Type 3,True,True,True
RNU6-1179P,Type 3,False,False,True
RNU6-117P,Type 3,False,False,True
RNU6-1180P,Type 3,False,False,True
RNU6-1181P,Type 3,False,False,True
RNU6-1183P,Type 3,False,True,True
RNU6-1184P,Type 3,False,False,True
RNU6-1186P,Type 3,False,False,True
RNU6-1187P,Type 3,False,True,True
RNU6-1188P,Type 3,False,False,True
RNU6-1189P,Type 3,False,False,True
RNU6-118P,Type 3,False,False,True
RNU6-1190P,Type 3,False,True,True
RNU6-1191P,Type 3,False,True,True
RNU6-1192P,Type 3,False,True,True
RNU6-1193P,Type 3,False,False,True
RNU6-1194P,Type 3,False,False,True
RNU6-1195P,Type 3,False,True,True
RNU6-1196P,Type 3,True,True,True
RNU6-1197P,Type 3,False,True,True
RNU6-1198P,Type 3,False,True,True
RNU6-1199P,Type 3,False,False,True
RNU6-119P,Type 3,False,False,True
RNU6-11P,Type 3,False,False,True
RNU6-1200P,Type 3,False,False,True
RNU6-1201P,Type 3,True,True,True
RNU6-1203P,Type 3,False,False,True
RNU6-1204P,Type 3,False,False,True
RNU6-1205P,Type 3,True,True,True
RNU6-1206P,Type 3,False,False,False
RNU6-1207P,Type 3,False,False,True
RNU6-1208P,Type 3,False,False,True
RNU6-1209P,Type 3,False,False,True
RNU6-120P,Type 3,False,True,True
RNU6-1210P,Type 3,False,False,True
RNU6-1211P,Type 3,False,False,True
RNU6-1212P,Type 3,False,False,False
RNU6-1213P,Type 3,True,True,True
RNU6-1214P,Type 3,False,False,True
RNU6-1215P,Type 3,False,False,True
RNU6-1216P,Type 3,False,False,True
RNU6-1217P,Type 3,False,False,True
RNU6-1218P,Type 3,False,False,True
RNU6-1219P,Type 3,False,True,True
RNU6-121P,Type 3,False,False,True
RNU6-1220P,Type 3,False,False,False
RNU6-1222P,Type 3,False,False,True
RNU6-1223P,Type 3,True,True,True
RNU6-1224P,Type 3,False,True,True
RNU6-1225P,Type 3,False,False,True
RNU6-1226P,Type 3,False,False,True
RNU6-1227P,Type 3,False,False,True
RNU6-1228P,Type 3,False,False,True
RNU6-1229P,Type 3,False,True,True
RNU6-122P,Type 3,False,False,True
RNU6-1230P,Type 3,False,False,True
RNU6-1231P,Type 3,False,True,True
RNU6-1232P,Type 3,False,False,True
RNU6-1233P,Type 3,False,False,True
RNU6-1234P,Type 3,False,False,True
RNU6-1235P,Type 3,False,False,True
RNU6-1236P,Type 3,False,False,True
RNU6-1237P,Type 3,False,False,True
RNU6-1238P,Type 3,True,True,True
RNU6-1239P,Type 3,False,False,True
RNU6-123P,Type 3,False,True,True
RNU6-1240P,Type 3,False,False,True
RNU6-1241P,Type 3,False,False,True
RNU6-1242P,Type 3,True,True,True
RNU6-1243P,Type 3,False,False,True
RNU6-1244P,Type 3,False,False,True
RNU6-1245P,Type 3,True,True,True
RNU6-1246P,Type 3,False,False,True
RNU6-1247P,Type 3,False,True,True
RNU6-1248P,Type 3,False,False,True
RNU6-1249P,Type 3,False,False,True
RNU6-1250P,Type 3,False,False,True
RNU6-1251P,Type 3,False,False,True
RNU6-1252P,Type 3,False,False,True
RNU6-1254P,Type 3,False,False,True
RNU6-1255P,Type 3,True,True,True
RNU6-1256P,Type 3,False,False,True
RNU6-1257P,Type 3,False,False,True
RNU6-1258P,Type 3,False,False,False
RNU6-125P,Type 3,False,False,True
RNU6-1260P,Type 3,False,False,True
RNU6-1261P,Type 3,False,True,True
RNU6-1262P,Type 3,False,False,True
RNU6-1263P,Type 3,False,False,True
RNU6-1264P,Type 3,False,True,True
RNU6-1265P,Type 3,False,False,False
RNU6-1266P,Type 3,True,True,True
RNU6-1267P,Type 3,False,False,True
RNU6-1268P,Type 3,False,False,True
RNU6-1269P,Type 3,False,False,True
RNU6-126P,Type 3,False,False,False
RNU6-1270P,Type 3,False,False,True
RNU6-1271P,Type 3,False,False,True
RNU6-1272P,Type 3,False,False,True
RNU6-1273P,Type 3,True,True,True
RNU6-1274P,Type 3,True,True,True
RNU6-1275P,Type 3,False,False,True
RNU6-1276P,Type 3,False,False,True
RNU6-1277P,Type 3,False,False,True
RNU6-1278P,Type 3,False,False,True
RNU6-1279P,Type 3,False,False,True
RNU6-127P,Type 3,False,False,True
RNU6-1280P,Type 3,False,False,True
RNU6-1281P,Type 3,False,False,True
RNU6-1282P,Type 3,False,False,True
RNU6-1283P,Type 3,False,True,True
RNU6-1284P,Type 3,False,False,True
RNU6-1285P,Type 3,False,False,True
RNU6-1286P,Type 3,False,True,True
RNU6-1287P,Type 3,False,False,True
RNU6-1288P,Type 3,False,False,True
RNU6-1289P,Type 3,False,False,True
RNU6-128P,Type 3,False,False,True
RNU6-1290P,Type 3,False,False,True
RNU6-1291P,Type 3,False,False,True
RNU6-1292P,Type 3,False,False,True
RNU6-1293P,Type 3,False,False,False
RNU6-1294P,Type 3,False,True,True
RNU6-1296P,Type 3,False,False,True
RNU6-1297P,Type 3,False,True,True
RNU6-1298P,Type 3,True,True,True
RNU6-1299P,Type 3,False,False,True
RNU6-129P,Type 3,False,False,True
RNU6-12P,Type 3,False,False,True
RNU6-1300P,Type 3,False,True,True
RNU6-1301P,Type 3,False,True,True
RNU6-1303P,Type 3,False,False,True
RNU6-1304P,Type 3,True,True,True
RNU6-1305P,Type 3,False,False,True
RNU6-1306P,Type 3,True,True,True
RNU6-1307P,Type 3,False,False,True
RNU6-1308P,Type 3,False,True,True
RNU6-1309P,Type 3,False,False,True
RNU6-130P,Type 3,False,False,True
RNU6-1310P,Type 3,False,False,True
RNU6-1311P,Type 3,False,True,True
RNU6-1312P,Type 3,False,False,True
RNU6-1313P,Type 3,False,False,True
RNU6-1314P,Type 3,False,False,True
RNU6-1315P,Type 3,True,True,True
RNU6-1316P,Type 3,False,True,True
RNU6-1317P,Type 3,False,False,True
RNU6-1318P,Type 3,False,False,True
RNU6-1319P,Type 3,False,False,True
RNU6-131P,Type 3,False,True,True
RNU6-1320P,Type 3,False,False,True
RNU6-1321P,Type 3,False,False,True
RNU6-1322P,Type 3,True,True,True
RNU6-1323P,Type 3,False,False,True
RNU6-1324P,Type 3,False,True,True
RNU6-1325P,Type 3,False,False,False
RNU6-1326P,Type 3,False,False,True
RNU6-1327P,Type 3,False,False,True
RNU6-1328P,Type 3,True,True,True
RNU6-1329P,Type 3,False,True,True
RNU6-132P,Type 3,True,True,True
RNU6-1330P,Type 3,False,False,True
RNU6-1331P,Type 3,False,True,True
RNU6-1332P,Type 3,False,False,True
RNU6-1333P,Type 3,False,False,True
RNU6-1334P,Type 3,False,False,False
RNU6-1335P,Type 3,True,True,True
RNU6-1336P,Type 3,False,False,True
RNU6-1337P,Type 3,False,False,False
RNU6-1338P,Type 3,False,False,True
RNU6-1339P,Type 3,False,False,True
RNU6-133P,Type 3,False,False,True
RNU6-1340P,Type 3,False,True,True
RNU6-1341P,Type 3,False,False,True
RNU6-1342P,Type 3,False,False,True
RNU6-135P,Type 3,False,False,True
RNU6-136P,Type 3,True,False,True
RNU6-137P,Type 3,False,False,True
RNU6-138P,Type 3,False,False,True
RNU6-139P,Type 3,False,False,True
RNU6-13P,Type 3,False,False,True
RNU6-140P,Type 3,False,True,True
RNU6-141P,Type 3,False,False,True
RNU6-142P,Type 3,False,False,True
RNU6-143P,Type 3,True,True,True
RNU6-144P,Type 3,False,False,True
RNU6-145P,Type 3,False,False,True
RNU6-146P,Type 3,False,False,True
RNU6-147P,Type 3,False,True,True
RNU6-148P,Type 3,False,False,True
RNU6-14P,Type 3,False,False,True
RNU6-150P,Type 3,False,False,True
RNU6-151P,Type 3,False,False,True
RNU6-152P,Type 3,False,True,True
RNU6-153P,Type 3,False,False,True
RNU6-154P,Type 3,False,False,True
RNU6-155P,Type 3,False,True,True
RNU6-156P,Type 3,False,False,False
RNU6-157P,Type 3,False,False,True
RNU6-158P,Type 3,False,False,True
RNU6-159P,Type 3,False,False,True
RNU6-15P,Type 3,False,False,True
RNU6-160P,Type 3,False,False,True
RNU6-161P,Type 3,False,False,True
RNU6-162P,Type 3,False,False,True
RNU6-163P,Type 3,False,False,True
RNU6-164P,Type 3,False,False,True
RNU6-165P,Type 3,False,False,False
RNU6-166P,Type 3,False,False,True
RNU6-167P,Type 3,False,False,True
RNU6-168P,Type 3,False,False,True
RNU6-169P,Type 3,True,True,True
RNU6-16P,Type 3,False,False,True
RNU6-170P,Type 3,False,True,True
RNU6-171P,Type 3,False,True,True
RNU6-172P,Type 3,False,False,True
RNU6-173P,Type 3,False,False,True
RNU6-174P,Type 3,False,False,True
RNU6-175P,Type 3,False,False,True
RNU6-176P,Type 3,False,False,True
RNU6-177P,Type 3,False,False,True
RNU6-178P,Type 3,True,True,True
RNU6-179P,Type 3,True,True,True
RNU6-17P,Type 3,False,False,True
RNU6-180P,Type 3,False,False,True
RNU6-181P,Type 3,True,True,True
RNU6-182P,Type 3,False,False,True
RNU6-183P,Type 3,False,False,True
RNU6-184P,Type 3,False,False,True
RNU6-185P,Type 3,False,False,True
RNU6-187P,Type 3,False,False,True
RNU6-188P,Type 3,False,False,True
RNU6-189P,Type 3,False,False,True
RNU6-18P,Type 3,False,False,True
RNU6-190P,Type 3,False,False,True
RNU6-191P,Type 3,False,False,True
RNU6-192P,Type 3,True,True,True
RNU6-193P,Type 3,False,True,True
RNU6-194P,Type 3,True,True,True
RNU6-195P,Type 3,False,True,True
RNU6-196P,Type 3,False,False,True
RNU6-197P,Type 3,False,False,True
RNU6-198P,Type 3,False,False,True
RNU6-199P,Type 3,False,True,True
RNU6-19P,Type 3,False,False,True
RNU6-2,Type 3,True,True,True
RNU6-200P,Type 3,False,False,True
RNU6-201P,Type 3,False,True,True
RNU6-202P,Type 3,False,False,False
RNU6-203P,Type 3,False,False,True
RNU6-204P,Type 3,False,False,True
RNU6-205P,Type 3,False,False,True
RNU6-206P,Type 3,True,True,True
RNU6-207P,Type 3,False,False,True
RNU6-208P,Type 3,False,True,True
RNU6-209P,Type 3,False,False,True
RNU6-20P,Type 3,True,True,True
RNU6-210P,Type 3,True,True,True
RNU6-211P,Type 3,False,False,True
RNU6-212P,Type 3,False,False,True
RNU6-213P,Type 3,False,True,True
